"user_id","Choice","Group","Memory","TimeClick","Timesec","Q15_Page_Submit","Q16_Page_Submit","Q17_Page_Submit","Q18_Page_Submit","Age","Gender","Q23","PC1","PC2","PC3","PC4","PF1","PF2","PF3","PF4","PF5","BA","BF1","BF2","Memory_1","Memory_2","PC","PF","Group_1","Group_2","Group_3","Group_4","Choice_f","Memory_f"
1,2,4,2,12329,12.329,NA,NA,NA,160.43,2,2,1,3,3,2,3,3,3,2,3,2,NA,NA,NA,0,1,2.75,2.6,0,0,0,1,"Reject","NoMemory"
2,2,1,1,6465,6.465,17.554,NA,NA,NA,1,1,1,2,1,2,1,2,2,3,2,2,4,1,1,1,0,1.5,2.2,1,0,0,0,"Reject","WithMemory"
3,2,3,1,5190,5.19,NA,NA,13.501,NA,1,2,1,3,2,2,1,2,2,3,1,1,NA,NA,NA,1,0,2,1.8,0,0,1,0,"Reject","WithMemory"
4,1,3,2,9493,9.493,NA,NA,21.604,NA,2,1,1,1,1,1,1,1,4,3,3,3,NA,NA,NA,0,1,1,2.8,0,0,1,0,"Accept","NoMemory"
5,2,2,2,5120,5.12,NA,84.344,NA,NA,2,2,1,1,1,1,1,1,1,1,2,3,4,1,1,0,1,1,1.6,0,1,0,0,"Reject","NoMemory"
6,2,4,2,4081,4.081,NA,NA,NA,91.6,1,1,1,1,1,1,1,1,1,1,3,3,NA,NA,NA,0,1,1,1.8,0,0,0,1,"Reject","NoMemory"
7,2,3,1,4662,4.662,NA,NA,17.156,NA,2,1,1,1,1,1,1,1,1,1,2,2,NA,NA,NA,1,0,1,1.4,0,0,1,0,"Reject","WithMemory"
8,1,3,2,9774,9.774,NA,NA,18.301,NA,2,1,1,3,3,2,1,1,1,1,3,2,NA,NA,NA,0,1,2.25,1.6,0,0,1,0,"Accept","NoMemory"
9,2,2,2,12513,12.513,NA,41.887,NA,NA,3,1,1,1,1,1,1,1,2,1,3,2,4,1,1,0,1,1,1.8,0,1,0,0,"Reject","NoMemory"
10,2,4,1,8770,8.77,NA,NA,NA,18.064,2,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,0,1,1,0,0,0,1,"Reject","WithMemory"
11,2,2,1,3073,3.073,NA,37.296,NA,NA,1,1,1,1,1,1,1,1,1,1,2,2,4,1,1,1,0,1,1.4,0,1,0,0,"Reject","WithMemory"
12,1,1,2,4049,4.049,7.549,NA,NA,NA,1,2,1,4,4,3,4,4,5,4,5,3,5,1,1,0,1,3.75,4.2,1,0,0,0,"Accept","NoMemory"
13,2,4,2,5441,5.441,NA,NA,NA,238.968,1,1,1,1,1,1,1,1,1,1,2,2,NA,NA,NA,0,1,1,1.4,0,0,0,1,"Reject","NoMemory"
14,2,2,1,8628,8.628,NA,8.972,NA,NA,1,1,1,2,3,3,3,2,3,2,3,2,5,1,1,1,0,2.75,2.4,0,1,0,0,"Reject","WithMemory"
15,2,4,2,7552,7.552,NA,NA,NA,20.359,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,0,1,1,1,0,0,0,1,"Reject","NoMemory"
16,4,3,1,NA,NA,NA,NA,58.054,NA,1,1,1,3,4,4,3,4,4,2,5,3,NA,NA,NA,1,0,3.5,3.6,0,0,1,0,"Other","WithMemory"
17,2,4,2,6738,6.738,NA,NA,NA,6.6,4,2,1,3,2,2,1,2,2,3,1,1,NA,NA,NA,0,1,2,1.8,0,0,0,1,"Reject","NoMemory"
18,1,1,1,6069,6.069,15.139,NA,NA,NA,1,1,1,2,4,2,2,4,4,2,3,3,5,1,1,1,0,2.5,3.2,1,0,0,0,"Accept","WithMemory"
19,1,3,2,4299,4.299,NA,NA,10.147,NA,1,1,1,4,4,4,4,4,5,4,5,5,NA,NA,NA,0,1,4,4.6,0,0,1,0,"Accept","NoMemory"
20,1,2,2,2232,2.232,NA,67.384,NA,NA,2,2,1,4,4,4,4,4,5,4,4,4,5,1,1,0,1,4,4.2,0,1,0,0,"Accept","NoMemory"
21,2,4,2,7797,7.797,NA,NA,NA,19.076,1,1,2,4,4,3,4,3,4,2,4,3,NA,NA,NA,0,1,3.75,3.2,0,0,0,1,"Reject","NoMemory"
22,1,4,1,5533,5.533,NA,NA,NA,9.3,2,2,1,4,4,4,4,4,4,4,4,4,NA,NA,NA,1,0,4,4,0,0,0,1,"Accept","WithMemory"
23,2,3,2,2998,2.998,NA,NA,56.644,NA,2,1,1,5,5,3,5,4,4,4,4,4,NA,NA,NA,0,1,4.5,4,0,0,1,0,"Reject","NoMemory"
24,2,2,2,8420,8.42,NA,38.875,NA,NA,2,2,1,4,4,4,4,3,4,3,3,4,5,1,1,0,1,4,3.4,0,1,0,0,"Reject","NoMemory"
25,2,2,1,9002,9.002,NA,38.452,NA,NA,1,2,1,4,4,3,4,4,5,2,4,4,5,1,1,1,0,3.75,3.8,0,1,0,0,"Reject","WithMemory"
26,2,4,1,5188,5.188,NA,NA,NA,22.875,2,2,2,5,5,5,5,4,4,4,3,4,NA,NA,NA,1,0,5,3.8,0,0,0,1,"Reject","WithMemory"
27,1,1,2,15072,15.072,32.159,NA,NA,NA,1,2,1,5,5,5,5,5,5,5,5,5,5,1,1,0,1,5,5,1,0,0,0,"Accept","NoMemory"
28,2,4,1,2163,2.163,NA,NA,NA,28.17,2,2,1,4,4,4,4,4,4,4,5,4,NA,NA,NA,1,0,4,4.2,0,0,0,1,"Reject","WithMemory"
29,2,2,2,3665,3.665,NA,20.038,NA,NA,2,2,2,4,3,4,3,5,5,5,5,5,5,1,1,0,1,3.5,5,0,1,0,0,"Reject","NoMemory"
30,1,3,1,4963,4.963,NA,NA,41.193,NA,3,1,2,5,5,5,5,4,5,5,4,5,NA,NA,NA,1,0,5,4.6,0,0,1,0,"Accept","WithMemory"
31,2,4,1,7929,7.929,NA,NA,NA,33.264,1,1,1,3,3,3,3,3,3,3,3,3,NA,NA,NA,1,0,3,3,0,0,0,1,"Reject","WithMemory"
32,1,1,1,5263,5.263,20.123,NA,NA,NA,2,2,1,4,4,4,2,3,5,5,5,5,5,1,1,1,0,3.5,4.6,1,0,0,0,"Accept","WithMemory"
33,1,1,1,6471,6.471,30.621,NA,NA,NA,3,1,1,4,3,3,3,2,4,3,3,3,5,1,1,1,0,3.25,3,1,0,0,0,"Accept","WithMemory"
34,2,2,2,3012,3.012,NA,19.586,NA,NA,4,2,2,5,4,5,4,4,4,4,3,4,5,1,1,0,1,4.5,3.8,0,1,0,0,"Reject","NoMemory"
35,1,1,1,5450,5.45,44.345,NA,NA,NA,2,1,1,3,4,2,4,3,4,4,4,3,5,1,1,1,0,3.25,3.6,1,0,0,0,"Accept","WithMemory"
36,1,1,2,5261,5.261,11.006,NA,NA,NA,2,1,2,2,2,1,3,2,4,4,4,4,5,1,1,0,1,2,3.6,1,0,0,0,"Accept","NoMemory"
37,4,3,2,NA,NA,NA,NA,23.143,NA,2,2,2,5,4,4,4,5,5,5,5,4,NA,NA,NA,0,1,4.25,4.8,0,0,1,0,"Other","NoMemory"
38,1,3,1,4746,4.746,NA,NA,18.557,NA,2,1,1,5,5,5,5,4,5,4,4,3,NA,NA,NA,1,0,5,4,0,0,1,0,"Accept","WithMemory"
39,2,4,2,4133,4.133,NA,NA,NA,160.016,1,2,2,3,4,4,4,4,4,4,4,3,NA,NA,NA,0,1,3.75,3.8,0,0,0,1,"Reject","NoMemory"
40,1,2,1,8221,8.2212,NA,94.719,NA,NA,3,1,1,2,2,2,2,4,4,4,5,4,5,1,1,1,0,2,4.2,0,1,0,0,"Accept","WithMemory"
41,1,1,2,2994,2.994,21,NA,NA,NA,2,2,2,4,3,4,4,4,4,4,5,4,5,1,1,0,1,3.75,4.2,1,0,0,0,"Accept","NoMemory"
42,2,3,1,9958,9.958,NA,NA,18.222,NA,1,2,1,4,4,4,5,3,2,3,2,2,NA,NA,NA,1,0,4.25,2.4,0,0,1,0,"Reject","WithMemory"
43,2,2,2,7389,7.389,NA,15.5,NA,NA,2,4,1,4,5,5,5,2,1,3,2,2,5,1,1,0,1,4.75,2,0,1,0,0,"Reject","NoMemory"
44,3,1,1,18927,18.927,64.946,NA,NA,NA,2,2,2,4,4,4,5,4,5,4,2,1,5,1,1,1,0,4.25,3.2,1,0,0,0,"Manage","WithMemory"
45,1,2,1,3003,3.003,NA,8.662,NA,NA,1,4,1,5,5,2,4,2,1,5,5,5,3,1,1,1,0,4,3.6,0,1,0,0,"Accept","WithMemory"
46,2,4,1,2883,2.883,NA,NA,NA,25.057,3,2,1,1,1,1,1,5,5,5,5,3,NA,NA,NA,1,0,1,4.6,0,0,0,1,"Reject","WithMemory"
47,2,2,1,2340,2.34,NA,31.559,NA,NA,3,1,1,5,4,4,4,4,4,4,4,4,5,1,2,1,0,4.25,4,0,1,0,0,"Reject","WithMemory"
48,3,3,2,20052,20.052,NA,NA,88.253,NA,1,2,1,4,4,4,4,3,4,2,2,3,NA,NA,NA,0,1,4,2.8,0,0,1,0,"Manage","NoMemory"
49,2,4,1,1934,1.934,NA,NA,NA,33.555,3,1,2,4,4,3,2,5,4,5,1,2,NA,NA,NA,1,0,3.25,3.4,0,0,0,1,"Reject","WithMemory"
50,1,1,2,10741,10.741,13.703,NA,NA,NA,1,2,1,4,4,4,4,3,4,4,3,4,5,1,1,0,1,4,3.6,1,0,0,0,"Accept","NoMemory"
51,1,3,2,7829,7.829,NA,NA,90.256,NA,3,1,1,5,5,5,5,5,5,5,1,5,NA,NA,NA,0,1,5,4.2,0,0,1,0,"Accept","NoMemory"
52,1,1,1,5526,5.526,42.82,NA,NA,NA,2,2,1,2,2,2,2,4,3,5,5,2,5,1,2,1,0,2,3.8,1,0,0,0,"Accept","WithMemory"
53,2,2,1,5208,5.208,NA,32.052,NA,NA,3,1,1,5,5,2,4,2,1,5,5,5,5,1,2,1,0,4,3.6,0,1,0,0,"Reject","WithMemory"
54,2,2,1,2341,2.341,NA,14.888,NA,NA,4,1,1,4,4,4,4,4,4,4,4,3,5,1,2,1,0,4,3.8,0,1,0,0,"Reject","WithMemory"
55,2,1,2,4771,4.771,34.261,NA,NA,NA,4,1,1,4,4,4,3,5,5,5,5,5,5,1,2,0,1,3.75,5,1,0,0,0,"Reject","NoMemory"
56,2,3,2,4184,4.184,NA,NA,20.122,NA,2,2,2,4,4,5,5,4,5,5,4,4,NA,NA,NA,0,1,4.5,4.4,0,0,1,0,"Reject","NoMemory"
57,1,4,1,2245,2.245,NA,NA,NA,42.072,3,1,2,4,4,4,4,5,5,5,5,5,NA,NA,NA,1,0,4,5,0,0,0,1,"Accept","WithMemory"
58,1,3,1,2000,2,NA,NA,31.601,NA,3,1,1,4,4,3,4,4,5,5,5,5,NA,NA,NA,1,0,3.75,4.8,0,0,1,0,"Accept","WithMemory"
59,1,4,2,13430,13.43,NA,NA,NA,38.961,3,2,1,3,4,4,4,5,5,5,4,3,NA,NA,NA,0,1,3.75,4.4,0,0,0,1,"Accept","NoMemory"
60,1,2,2,4219,4.219,NA,36.449,NA,NA,3,2,1,5,4,4,5,5,4,4,4,4,5,1,2,0,1,4.5,4.2,0,1,0,0,"Accept","NoMemory"
61,1,3,2,5084,5.084,NA,NA,27.068,NA,3,2,1,4,4,5,5,5,5,5,4,5,NA,NA,NA,0,1,4.5,4.8,0,0,1,0,"Accept","NoMemory"
62,1,1,2,4982,4.982,44.876,NA,NA,NA,1,1,1,5,5,4,4,2,5,5,5,5,5,1,2,0,1,4.5,4.4,1,0,0,0,"Accept","NoMemory"
63,2,4,1,4054,4.054,NA,NA,NA,33.626,2,3,1,4,5,5,4,5,4,5,5,5,NA,NA,NA,1,0,4.5,4.8,0,0,0,1,"Reject","WithMemory"
64,2,4,1,5957,5.957,NA,NA,NA,29.401,2,2,1,5,5,5,5,5,5,5,5,5,NA,NA,NA,1,0,5,5,0,0,0,1,"Reject","WithMemory"
65,3,3,2,19939,19.939,NA,NA,41.139,NA,3,2,1,2,2,2,2,2,4,4,4,3,NA,NA,NA,0,1,2,3.4,0,0,1,0,"Manage","NoMemory"
66,2,1,2,12425,12.425,27.268,NA,NA,NA,2,2,1,4,4,4,4,4,4,4,4,4,5,1,2,0,1,4,4,1,0,0,0,"Reject","NoMemory"
67,1,4,1,2221,2.221,NA,NA,NA,36.389,3,1,1,5,5,5,5,5,5,5,5,5,NA,NA,NA,1,0,5,5,0,0,0,1,"Accept","WithMemory"
68,2,2,2,4226,4.226,NA,16.427,NA,NA,3,2,1,4,4,4,4,2,4,2,2,4,5,1,2,0,1,4,2.8,0,1,0,0,"Reject","NoMemory"
69,2,2,2,5529,5.529,NA,46.845,NA,NA,2,3,1,4,1,3,3,2,4,4,2,2,4,2,1,0,1,2.75,2.8,0,1,0,0,"Reject","NoMemory"
70,2,4,2,2054,2.054,NA,NA,NA,15.665,2,2,1,5,5,5,5,1,5,5,5,5,NA,NA,NA,0,1,5,4.2,0,0,0,1,"Reject","NoMemory"
71,1,2,1,3991,3.991,NA,31.665,NA,NA,1,2,1,2,3,2,3,4,4,3,4,4,5,1,1,1,0,2.5,3.8,0,1,0,0,"Accept","WithMemory"
72,2,2,2,5607,5.607,NA,10.652,NA,NA,2,2,1,2,3,2,4,3,4,2,4,4,4,1,1,0,1,2.75,3.4,0,1,0,0,"Reject","NoMemory"
73,1,1,1,5865,5.865,NA,NA,NA,NA,1,1,1,4,4,4,5,4,5,5,5,4,4,1,1,1,0,4.25,4.6,1,0,0,0,"Accept","WithMemory"
74,1,3,2,2609,2.609,NA,NA,21.355,NA,2,2,1,4,3,3,3,3,4,4,3,4,NA,NA,NA,0,1,3.25,3.6,0,0,1,0,"Accept","NoMemory"
75,1,3,1,1534,1.534,NA,NA,6.606,NA,1,1,1,1,5,1,3,4,4,4,4,4,NA,NA,NA,1,0,2.5,4,0,0,1,0,"Accept","WithMemory"
76,2,3,2,12252,12.252,NA,NA,5282.002,NA,3,1,1,2,2,3,2,2,2,2,2,2,NA,NA,NA,0,1,2.25,2,0,0,1,0,"Reject","NoMemory"
77,2,4,1,1927,1.927,NA,NA,NA,16.66,3,2,2,4,4,5,4,4,4,5,4,5,NA,NA,NA,1,0,4.25,4.4,0,0,0,1,"Reject","WithMemory"
78,2,2,1,4990,4.99,NA,29.337,NA,NA,2,1,2,4,5,3,5,4,5,5,5,5,5,1,1,1,0,4.25,4.8,0,1,0,0,"Reject","WithMemory"
79,1,1,1,3123,3.123,52.387,NA,NA,NA,2,4,2,4,4,4,5,4,5,4,4,5,4,1,1,1,0,4.25,4.4,1,0,0,0,"Accept","WithMemory"
80,1,1,1,6097,6.097,21.189,NA,NA,NA,2,2,2,4,5,5,5,4,5,4,5,4,3,1,1,1,0,4.75,4.4,1,0,0,0,"Accept","WithMemory"
81,2,4,1,8195,8.195,NA,NA,NA,15.701,1,2,1,4,4,3,3,4,4,5,4,5,NA,NA,NA,1,0,3.5,4.4,0,0,0,1,"Reject","WithMemory"
82,2,4,1,1613,1.613,NA,NA,NA,61.082,2,1,1,2,3,3,2,5,5,5,5,5,NA,NA,NA,1,0,2.5,5,0,0,0,1,"Reject","WithMemory"
83,1,1,1,4503,4.503,57.123,NA,NA,NA,3,2,1,4,4,4,4,4,4,4,4,4,5,1,2,1,0,4,4,1,0,0,0,"Accept","WithMemory"
84,2,3,2,6109,6.109,NA,NA,46.454,NA,2,1,1,5,4,4,5,4,5,4,4,4,NA,NA,NA,0,1,4.5,4.2,0,0,1,0,"Reject","NoMemory"
85,1,2,2,4477,4.477,NA,44.371,NA,NA,2,NA,1,2,2,3,2,3,4,3,4,4,4,1,1,0,1,2.25,3.6,0,1,0,0,"Accept","NoMemory"
86,1,1,2,7552,7.552,62.58,NA,NA,NA,2,2,1,4,4,3,4,3,3,3,4,3,4,1,1,0,1,3.75,3.2,1,0,0,0,"Accept","NoMemory"
87,1,4,1,2932,2.932,NA,NA,NA,6.282,3,1,2,4,4,4,5,4,5,4,5,4,NA,NA,NA,1,0,4.25,4.4,0,0,0,1,"Accept","WithMemory"
88,1,1,1,5148,5.148,29.469,NA,NA,NA,1,2,1,4,4,4,5,4,5,4,4,5,5,1,2,1,0,4.25,4.4,1,0,0,0,"Accept","WithMemory"
89,1,3,1,4347,4.347,NA,NA,32.733,NA,1,2,1,3,4,5,4,2,4,4,3,4,NA,NA,NA,1,0,4,3.4,0,0,1,0,"Accept","WithMemory"
90,2,4,2,2527,2.527,NA,NA,NA,44.646,1,1,1,5,5,5,5,4,5,5,4,5,NA,NA,NA,0,1,5,4.6,0,0,0,1,"Reject","NoMemory"
91,2,4,2,9205,9.205,NA,NA,NA,64.321,1,1,1,4,4,3,4,2,3,3,4,4,NA,NA,NA,0,1,3.75,3.2,0,0,0,1,"Reject","NoMemory"
92,2,2,1,6491,6.491,NA,53.801,NA,NA,2,2,2,5,5,3,5,2,5,5,2,5,5,1,2,1,0,4.5,3.8,0,1,0,0,"Reject","WithMemory"
93,1,1,1,3580,3.58,25.468,NA,NA,NA,2,1,2,2,5,5,5,1,5,5,5,5,5,1,1,1,0,4.25,4.2,1,0,0,0,"Accept","WithMemory"
94,3,4,1,12912,12.912,NA,NA,NA,29.833,1,1,2,4,4,4,4,3,4,5,4,5,NA,NA,NA,1,0,4,4.2,0,0,0,1,"Manage","WithMemory"
95,2,3,1,3868,3.868,NA,NA,26.571,NA,1,1,1,2,3,4,3,2,3,5,4,4,NA,NA,NA,1,0,3,3.6,0,0,1,0,"Reject","WithMemory"
96,2,2,1,3087,3.087,NA,24.939,NA,NA,1,2,1,4,4,4,5,5,5,5,3,2,5,1,1,1,0,4.25,4,0,1,0,0,"Reject","WithMemory"
97,2,4,2,9972,9.972,NA,NA,NA,18.189,2,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,0,1,1,1,0,0,0,1,"Reject","NoMemory"
98,1,1,2,1852,1.852,7.972,NA,NA,NA,5,1,1,1,1,1,1,3,3,3,3,3,5,1,1,0,1,1,3,1,0,0,0,"Accept","NoMemory"
99,2,3,1,3080,3.08,NA,NA,9.961,NA,1,1,1,5,5,5,5,5,4,4,2,4,NA,NA,NA,1,0,5,3.8,0,0,1,0,"Reject","WithMemory"
100,1,1,1,9353,9.3534,22.904,NA,NA,NA,3,2,1,2,2,2,2,4,4,4,3,3,5,1,1,1,0,2,3.6,1,0,0,0,"Accept","WithMemory"
101,3,2,1,28798,28.798,NA,37.315,NA,NA,4,1,1,5,5,5,5,5,5,5,5,5,5,1,1,1,0,5,5,0,1,0,0,"Manage","WithMemory"
102,2,4,1,10506,10.506,NA,NA,NA,15.371,2,1,1,5,5,5,5,5,5,5,5,5,NA,NA,NA,1,0,5,5,0,0,0,1,"Reject","WithMemory"
103,2,4,1,6624,6.624,NA,NA,NA,7.852,2,1,1,5,5,5,5,4,4,5,4,4,NA,NA,NA,1,0,5,4.2,0,0,0,1,"Reject","WithMemory"
104,1,3,1,4255,4.255,NA,NA,9.463,NA,2,2,2,1,1,1,1,3,3,2,3,2,NA,NA,NA,1,0,1,2.6,0,0,1,0,"Accept","WithMemory"
105,1,1,1,7699,7.699,13.111,NA,NA,NA,2,2,1,3,3,3,4,3,3,2,3,2,5,1,1,1,0,3.25,2.6,1,0,0,0,"Accept","WithMemory"
106,2,2,1,3595,3.595,NA,27.626,NA,NA,1,1,1,5,5,5,5,4,5,5,4,5,5,1,2,1,0,5,4.6,0,1,0,0,"Reject","WithMemory"
107,2,3,1,5819,5.819,NA,NA,11.462,NA,1,2,1,5,5,5,5,5,5,5,1,5,NA,NA,NA,1,0,5,4.2,0,0,1,0,"Reject","WithMemory"
108,2,4,2,8025,8.025,NA,NA,NA,58.741,3,1,2,5,5,5,5,4,5,5,5,1,NA,NA,NA,0,1,5,4,0,0,0,1,"Reject","NoMemory"
109,1,1,1,2716,2.716,48.472,NA,NA,NA,2,2,2,3,3,3,3,2,3,2,5,4,5,1,1,1,0,3,3.2,1,0,0,0,"Accept","WithMemory"
110,2,4,1,3022,3.022,NA,NA,NA,25.77,2,2,2,5,5,5,5,5,5,5,4,5,NA,NA,NA,1,0,5,4.8,0,0,0,1,"Reject","WithMemory"
111,4,2,2,NA,NA,NA,17.954,NA,NA,2,2,1,4,4,4,4,4,4,4,4,4,5,1,2,0,1,4,4,0,1,0,0,"Other","NoMemory"
112,1,1,1,17492,17.492,25.845,NA,NA,NA,3,2,2,4,4,4,4,3,4,4,4,4,5,1,1,1,0,4,3.8,1,0,0,0,"Accept","WithMemory"
113,2,3,1,9596,9.596,NA,NA,23.89,NA,1,3,1,4,4,4,4,3,4,4,4,4,NA,NA,NA,1,0,4,3.8,0,0,1,0,"Reject","WithMemory"
114,2,2,2,2286,2.286,NA,19.684,NA,NA,3,1,3,3,3,4,5,4,4,4,4,5,3,1,1,0,1,3.75,4.2,0,1,0,0,"Reject","NoMemory"
115,2,3,2,5792,5.792,NA,NA,11.609,NA,1,2,1,5,5,5,5,5,5,5,5,5,NA,NA,NA,0,1,5,5,0,0,1,0,"Reject","NoMemory"
116,2,3,2,9353,9.353,NA,NA,56.725,NA,1,2,1,4,4,3,4,2,4,4,4,2,NA,NA,NA,0,1,3.75,3.2,0,0,1,0,"Reject","NoMemory"
